id,female,age,pc1,app1,gw1,pw1,par1,teach1,mate1,fri1,mot1,aff1,aut1,pc2,app2,gw2,pw2,par2,teach2,mate2,fri2,mot2,aut2,aff2,acomp2,aca_imp,pc3,app3,gw3,pw3,par3,teach3,mate3,fri3,mot3,aff3,aut3,acomp3,pc4,app4,gw4,pw4,par4,teach4,mate4,fri4,mot4,aff4,aut4,acomp4,roman4
1020,0,14,2.75,3,3,3,2.4,2.8,3,3,2.8,3,3,3,3,3,3,3,2.4,2.8,3,2.6,2.6,3,2.2,2.2,2.5,3,3,3,3,2.4,3,3,2.4,3,3,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.
1021,0,15,3.25,1.25,3.75,3,2.4,2,2.8,2.6,2.6,2.33,2,.,.,.,.,.,.,.,.,.,.,.,.,.,3.5,2.5,3.25,3.2,3.6,3.6,3,3.6,3,3.33,3,2.2,3.5,2.25,2.25,2.8,3,3.8,3.4,3.8,3.4,4,3,2.2,3.2
1022,0,14,4,3.75,4,4,3.2,3.6,3.8,3.4,2.8,4,3.4,4,4,4,4,3.8,3.4,4,4,3.4,3.2,4,3.6,3.6,3.75,4,4,3.8,3.2,3.2,4,3,3.4,4,2.6,3.4,4,4,4,4,3.6,3.6,4,3,3.8,4,3.2,3.6,4
1023,0,18,3.5,3,3,3.2,2.8,3,2.6,1.8,2.6,1.67,2.2,3,3,3,3.2,3.4,3.2,2.8,1.6,3,2.4,2.67,3.2,3.2,3,3,3,3,3,3.2,2.6,1.6,3,1.33,1.8,3.2,3.75,3.25,3.25,3.6,2.8,3,2.8,2,3,1,1.4,3.8,2.6
1024,1,15,2.75,3,3,3,3.4,3,2.6,3,3,4,2.8,.,.,.,.,.,.,.,.,.,.,.,.,3.09,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1025,0,15,3.25,2.75,2.5,2.8,2,3,3,2.5,.,2.67,.,2.5,1,2.75,2.2,3,2.2,2.8,3,3.2,2.6,3,2.8,2.8,3.5,2.5,3.5,3.2,2.6,2.4,2.8,1.8,2.6,1.33,2.4,2.4,3.75,2.75,4,4,3,3.2,2.8,2.6,2.4,2.33,3.2,2.2,3
1026,0,14,2.25,2.5,3.25,3.8,4,3.8,1.6,3.2,3.4,3.67,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.,3.5,2.5,3.5,3.4,3.8,4,2.6,4,3,4,3.2,3,3,2.5,3.5,3.4,3.2,4,2.4,3.6,3.4,3.67,3,3.4,1.4
1027,.,14,2.75,3,2,2.4,2.4,1.4,1.8,3,2.6,2.67,2.2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1028,0,15,3.25,3,2.5,3.2,4,3,3,3,2.8,2,2.8,.,.,.,.,3.2,2.6,3,3,2.8,2.6,.,3,3,3,2.75,3,3,3,2.8,3,3,2.6,3,2.8,3,3,2.5,3,3.2,3.6,2.8,3,3,3,3,2.8,3,2.8
1029,1,17,1,1.25,1.5,1.4,3.8,3.2,3.2,2.8,2.4,1,3.2,1.5,1.5,2,1.8,2.8,3,3.2,2.8,2.6,3.6,1.33,3.4,3.4,.,.,.,.,.,.,.,.,.,.,.,.,3,4,3.75,3.8,4,4,4,4,2.2,4,4,4,3.2
1030,0,15,3,3.25,3,3.2,3.8,2.6,3,3.2,2.2,2.33,2.8,3,2.75,3,3,3,2.8,2.8,3,2.6,3,2.67,3,3,3,3,3,3,3.4,3,2.8,3,2.6,2.33,2.6,3,3,3,3,3,3,2.8,2.8,3,2.8,3,2,3,3
1031,0,14,3.25,3.5,3,2.8,2.4,2.4,2.4,2.4,2.4,2.67,2.4,2.5,2.25,2.75,2.4,3,2.6,2.4,2.8,2.6,2.4,2.33,2.8,2.8,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2.75,2.25,2.2,3,2.4,2,2.4,2.2,1.33,2.2,3.4,1.4
1032,0,15,4,3.75,3.75,4,4,4,3.8,4,4,4,3.4,4,4,4,4,4,4,4,4,3.2,2.8,4,4,4,4,4,4,4,4,4,4,4,3.2,4,3.4,4,4,4,4,4,4,3.4,4,3.4,4,4,3.4,4,4
1033,0,14,2.5,2.5,2.75,2.4,2.8,3.8,3.2,3,2.6,1.33,3.4,2.5,3,3,2.8,3.6,3,3,3,2.6,3.2,2,2.6,2.6,2.75,3,3,2.6,3.4,3.4,3,3.2,2.2,2,3,2.4,3,2.75,2.75,2.8,3.4,3,2.6,2.4,2.8,2.33,3.2,2.8,2.8
1034,0,15,2.5,2.5,3.25,2.8,3.6,1.8,3,4,2.8,2.67,3,2.5,2.5,2.5,3.2,3.6,2.8,3.2,3.8,3.2,3,2.67,2.4,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1035,0,15,3,2.75,3,2.8,3.8,2.4,3.4,2.8,2.6,2.67,3.4,3,2.5,2.75,2,3.4,2.8,3,3,2.6,2.8,2,2.8,2.8,3,2.5,3,2.6,3.8,3,3.2,3,2.8,3,3.4,3.4,3,2.25,3,2,3.6,2.6,3.2,3,3,3,3,3,3.6
1036,1,15,2,2,2.5,2,1,2.6,3.6,4,2.4,1.67,2.8,2.75,2.25,2.25,1.8,1,2.8,3.6,4,2.8,2.6,2.33,3.4,3.4,2.5,2,2.75,1.6,1,2,3.6,3.4,2.4,1.33,3,3.2,.,.,.,.,.,.,.,.,.,.,.,.,.
1037,0,15,3.25,4,4,4,3.2,3,3.8,4,3.4,2.33,2.2,3.75,3.75,3.25,3.8,4,4,3.8,3.8,2.6,1.8,4,2.4,2.4,3.5,3.5,3.75,3.8,3.4,4,4,4,2.8,4,1.2,3.6,3.25,4,3,3.4,1.6,1.8,1.6,2,3,2.33,1.4,3.2,3.8
1038,0,14,4,3,3.75,3.4,3.8,2.2,3,4,3.6,4,3,4,3.25,3,3.4,3.4,2.8,3.2,3.8,3.2,3,4,2.6,2.6,4,3,3.5,3.4,3.6,2.4,3.4,3,3.6,4,3.4,2.4,4,3,3,3,3.4,1.6,3,3.6,2.2,1.67,3,2.2,3.4
1039,1,14,3.75,3.75,4,4,3.8,4,3.8,4,3.2,3,3.2,3.75,3.25,3.5,4,4,4,4,4,3.8,3.2,3.33,3.6,3.6,3.75,3.5,4,4,4,4,4,4,3.8,3.33,3.2,3.4,3.75,4,4,4,4,4,4,4,4,4,3.4,4,3.4
1040,1,15,1,1,1,1.2,1.8,1.4,1,1,1.6,1,1.6,.,.,.,.,.,.,.,.,.,.,.,.,.,1.75,1,1,1,1.6,2,1,1.8,1.8,1,1.6,2,.,.,.,.,.,.,.,.,.,.,.,.,.
1041,1,18,2.75,3.5,4,3,3.4,3.2,3.4,4,3,1,3.8,.,.,.,.,.,.,.,.,.,.,.,.,.,3.25,4,3.75,3.2,2.8,2.8,3.2,2.8,2.8,2.33,4,3.6,2.75,2.75,2.75,3,3.4,2.8,2.8,2.6,2.2,1.33,3.4,2.2,1.8
1042,0,15,2.25,3.5,4,2.6,3.8,3,3,3.4,3.2,1.67,2.8,3,3.25,3.75,3,4,3,3,3.4,3.2,3.2,3,3.6,3.6,3,3.25,3.5,3.6,3.6,3.4,3.4,3,3.2,3.33,3,3.4,3.25,3.25,3.25,3.2,3.4,3,3.2,3,3.2,3,3,3.4,1.6
1043,1,15,2,1.25,2,2,2.6,2.6,2.6,2.8,2,2,2.4,2,2,2.25,2.2,3,2.2,2.8,2.8,2.4,2.8,2.33,2.2,2.2,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2.25,2,3,2.6,3,3,2.6,2.33,2.8,2.6,2.6
1044,1,15,2.5,2,2.5,1.8,2.4,2.2,2.2,2.4,2.2,2.33,2.2,1,1,1,1,1,1,1.2,2.2,2,1.2,1,2.6,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1045,1,14,4,3,2.5,3.4,1.2,3.8,3,4,3.6,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,3.25,2.25,2.75,3.2,3.2,3,2.8,3,3.2,3.67,3,3,3.25,2.5,3,2.8,3.4,3.6,3.2,3.8,3.2,3.67,3.2,2.8,2.8
1046,0,14,3.75,3,3.5,2.4,3.2,3,3.2,3,2,3.67,3,3.25,3.5,3,4,2.8,2,3.2,2,3.6,3.4,4,2.8,2.8,3.5,3.5,3,3,3,2.4,2.4,3.4,2.2,3,1.8,2.6,3.25,3,3,3,2.8,3,3.6,4,3.6,4,3,3.4,2.4
1047,0,14,2,2.5,2.5,2.2,1,1,2.2,2.8,2,1,2.6,3,2.25,2.75,2.6,2,2,2.6,3,1.4,1.8,2,3,3,2.5,3,2.75,2.4,1.2,1.2,2.6,2.8,1.6,1,2.2,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.
1048,1,14,3,2.75,4,3,3.4,2.6,3.8,4,2.4,2.67,3.2,2.75,2,3.75,2.4,4,4,3.8,4,3,3.2,3.33,3.6,3.6,3,3,4,3,4,4,3.8,4,4,4,3.8,3.6,3.25,2.5,3.5,2.8,4,4,4,4,3.6,3.67,3.8,4,3.2
1049,0,14,1.75,1.25,2.5,1.2,4,1.6,3.2,2.4,2.6,2,2.2,2,1.25,3,1.4,3.4,3,2.8,2.2,2.2,3.6,3,2.8,2.8,2,1.25,2.75,2,4,3.8,2.6,2.8,2.6,3.33,3.2,2.8,2,1.25,3.25,1.8,4,3.8,2.8,3,2.8,3,3.4,3.2,2.6
