id,female,age,pc1,app1,gw1,pw1,par1,teach1,mate1,fri1,mot1,aff1,aut1,pc2,app2,gw2,pw2,par2,teach2,mate2,fri2,mot2,aut2,aff2,acomp2,aca_imp,pc3,app3,gw3,pw3,par3,teach3,mate3,fri3,mot3,aff3,aut3,acomp3,pc4,app4,gw4,pw4,par4,teach4,mate4,fri4,mot4,aff4,aut4,acomp4,roman4
1050,0,14,2.5,3.5,3,3,3.6,3,3.2,3,2.4,2.67,2.4,3,3,3.25,3,3,3,3.2,3,2.4,2.8,3,3,3,.,.,.,.,.,.,.,.,.,.,.,.,2.75,3.5,3,3.2,3.6,3.2,3,3,3.2,3,3.2,2.8,3
1051,0,15,4,3.25,2.75,3.2,2.8,3,2.2,2.8,3.8,4,3.6,4,3.5,3.5,4,3.8,3,2,3,3.8,3.6,4,4,4,4,3,3.5,4,3,3,2.6,3,4,4,3,4,3.75,3.25,3.5,3.6,3.2,3.2,3,2.8,4,4,3.8,4,3
1052,1,14,2.25,4,4,4,3.6,4,3.6,4,3,1,3.6,2.5,4,4,4,4,4,3.8,4,3,3.6,2.33,4,4,2.75,4,4,4,4,4,4,4,2.6,2.33,3.4,4,3.25,3,3.5,3,4,4,4,4,2.6,2.67,3,3.8,3.6
1053,0,14,2.25,4,3.5,3.2,3.8,3.2,3.2,3.2,2.4,2,2.6,2.25,4,4,3.6,4,2.8,3,3,2.6,2,2,2.4,2.4,3,4,4,4,4,3.2,3,3.8,2.8,2,2.8,2.6,3,3.75,3.75,3.4,3.2,3,3,3,2.8,2.67,2.8,3,2.6
1054,1,14,2.5,2.25,3,2.2,3,2.6,3.6,4,2.6,3.67,2.6,2,2.5,3,2.8,2.6,2.8,3.8,3.8,2.4,2.8,3,3,3,2,2.25,2.75,2.8,3,3.2,3.8,3.8,2.8,3,2.4,2.8,3.75,3,4,3.6,3.8,2.2,3.8,4,4,4,3.2,3.2,2.8
1055,1,14,3.25,2.25,3,3,2.8,3,3.2,3.2,2.8,3,2,2.75,3,3,3,2.4,2.8,2.8,1.8,2.4,2.8,3,2,2,3.5,3.5,2.75,3,2.6,2.4,3,2.6,2.2,3,2.2,3.2,3,3,3,3,2.6,3,3.2,4,2.4,3,2.2,2.2,3.4
1056,0,14,3.25,3.25,3,3,2.8,2.8,3.2,2.8,2.8,3,2.4,3,3,3,3,3,3,3,3,2.4,2.4,3,3,3,3.25,3,4,3.6,4,4,4,4,3.4,3,3,3.6,3.25,3.25,3.25,3,4,3.8,3.8,4,3.2,3,2.2,2.8,2.8
1057,0,14,2.75,3,3,3,2.8,2.8,2.6,3.2,2.6,2.67,2.4,3,3,3,3,3,2.4,3,3,3.4,3,3,.,3.05,3,3,3.25,3,2.8,2.8,3,4,3.2,3,2.8,3,3,3,3.25,3,2.8,3,3.6,4,2.8,3,3,3.4,2.4
1058,1,14,1.75,2.25,2.25,2,2.8,2.6,3.4,4,2.8,3,3,2.75,2.5,3.5,2.6,3.2,3.4,3.4,4,3,3.8,3,3,3,2.75,2.75,3,3,3,2.8,3.4,3.8,3.2,3,3,3,3,3,2.75,3,3,3,2.6,4,2.8,3,3.4,3,3
1059,0,15,3.25,4,4,3.8,2.6,2.8,3.4,2.6,2.4,3,2.8,2.75,2.75,2.5,1.8,1.8,2.6,2.6,2,2.4,2.4,2.33,2.6,2.6,.,.,.,.,.,.,.,.,.,.,.,.,2.25,2.25,2.5,2.6,2,2.4,2.6,2.6,2.8,2.67,2.2,2.4,2.8
1060,1,15,2,3,3,3.2,2.8,2.8,3.6,2.8,2.4,2.67,2.8,2.25,3,3,3,3,3,3.6,3.6,2.2,2.6,3,2.6,2.6,2.75,3,3,3,3,3.2,3.6,3.8,2.4,3,2.6,2.6,2.5,3,3,3,3.2,3,3.8,4,2.2,3,3,2.8,2.6
1061,0,14,3.25,2,3,2.6,2.6,2.6,2.6,2.4,2.8,2,2.4,2.5,2.5,3,2.4,2.4,2.8,2.4,2.4,2.4,2.8,3,2.6,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1062,1,14,1.25,2.25,3,2.2,2.2,3,3.4,3.2,2.4,1,2.4,3,2.25,3,2.2,1.6,3,2,2.2,2.6,2.4,1.33,2.4,2.4,3,2.5,2,2.4,2.4,2.6,2,2,2.4,3.33,2.4,2.2,2,2,2.75,2.8,2.8,3,3,3.4,2.8,2,2,3,3
1063,0,14,2.5,3,3.75,4,2.8,3.2,3.8,3,3,4,3.2,3,2.75,3,3,3,3.33,3,3,3,3,3.33,2.4,2.4,2.75,3,3,3,3,3,3,3,2,3,3.2,2.6,2.75,3,3.25,3,3,3,3,3,2.2,3.33,3.2,2.6,2.4
1064,0,14,2.25,2.25,2.75,2.6,3.2,2.4,2.2,2.2,2.2,3,2.8,2,2,2.67,2.5,.,.,.,.,2.8,2.4,3,1.8,1.8,2,2,2.5,2.2,3.2,2.2,2.4,2.4,2.6,3,1.6,1.8,2.25,2,2.25,2.2,2.2,2,2.4,2.4,2.8,3,1.8,2,2.6
1065,0,15,4,4,4,4,4,3,4,4,3.6,3,2.2,4,4,3.5,4,4,3.2,3.8,4,3.4,3,3,3.4,3.4,4,4,3.5,4,4,3,4,4,3.8,3,3.6,3.2,4,4,3.75,4,4,3.6,4,4,3.8,3,3.8,4,4
1066,0,14,3.5,2.75,3.75,3,3.2,2.6,2.4,2.6,3,3.33,2.6,1.75,2.25,2.25,2.4,3.2,2.8,2.8,2.6,2.8,2.8,3,2.6,2.6,3.25,3,3,3,3.4,3,2.2,3.4,2.8,3,2.4,2.8,4,1.75,2.75,3,3.2,2.4,3.2,2.6,3.8,3,2.2,3,2
1067,.,15,2,4,3.5,2.6,2.8,3.8,3.4,4,2.2,2,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1068,1,14,1,1,1.25,1,3,3.4,3.6,3.6,1.6,1,2.8,1,1.5,2,2,2.4,1.6,2.4,1.6,2.4,2.8,2.33,2.2,2.2,1,1,1,1,2,2.8,4,4,1,1,1.6,2.6,1,1.25,1.75,1.2,3.2,2.8,3.6,3.2,1.4,1.33,2.2,2.8,3.6
1069,1,14,4,3.5,4,3.2,3.8,3.4,4,3.4,2.8,3.33,2.8,3.5,3,3.75,3.8,3.8,4,4,3.6,3.4,3.2,4,3.4,3.4,4,3,4,3.6,4,4,4,4,3.6,4,3.4,3.8,3.75,3,3.75,3.8,4,3.4,4,4,3.8,3.67,3.4,4,4
1070,1,15,2.25,2.5,3,2.8,3.4,3.2,3.2,3.2,2.8,3,2.8,3.25,3,3,3,3.8,4,4,4,2.8,2.8,3,3,3,3.25,2.75,3.25,3.4,3.6,4,3.8,4,3.8,4,3,3.4,.,.,.,.,.,.,.,.,.,.,.,.,.
1071,1,14,2,1,2,1.4,3.4,2.4,2.6,2.6,2,3,2.8,2,1,2,1,3,3,3,2.6,2.2,2.4,3,4,4,2,1,1.75,1,3.2,3,3,2.8,2.2,3,2.4,4,2,2,2,2,3.8,3,2.8,3,2,2,2.6,4,1.2
1072,0,15,3.75,4,3.5,3.6,3.2,3.6,3.4,3.2,2.6,3.67,2.8,.,.,.,.,.,.,.,.,.,.,.,.,.,3.25,3,3.75,3.6,3,3,2.8,3,2.8,3,2.8,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.
1073,1,14,1.25,1.75,2.75,2,2.4,2.4,3.2,4,3,1,3.2,1.25,1.75,2.75,1,3.2,3.8,3.4,4,2.2,2.6,1.67,4,4,.,.,.,.,.,.,.,.,.,.,.,.,3,4,3.75,3.8,4,4,4,4,2.2,4,4,4,3.2
1074,1,17,1.75,2,2,1.8,1.6,3.8,2.2,3,2.2,1.67,2.4,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,1,1.25,1.2,2.4,3.4,2.2,1.6,3,1.67,2.4,2,2,2,2,2,2.4,3,2.4,2,2,2,2.6,2,2.2
1075,0,14,2,2.75,3,2.2,3.33,3,2.75,3.75,2.75,2,3.8,.,.,.,.,.,.,.,.,.,.,.,3.6,3.6,2,3.25,3.25,2.8,3.8,3.6,3,3.2,3.6,3,3.6,2.8,1.75,2.75,3.5,3.2,3.4,3.2,2.6,3.6,3.2,2.33,3.8,3.4,2.8
1076,1,14,2,3,3,2.5,2,1.6,4,4,2.8,3,4,2.75,2,3,2.6,2.4,1.4,3.2,3,2.4,3,3,3,3,2.75,2.25,2.75,3,3.8,2.8,3.2,4,2.6,3,3.4,4,3,3,2.75,3,3.6,3.4,3.4,3.4,2.8,3,4,3.6,3.2
1077,.,17,3,1.5,3,3.4,2.4,3.6,2.6,3,2.4,2.67,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
1078,0,15,2.75,3.75,3,1.6,3,3,2.5,1,.,1.33,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.5,2.75,2,2.6,3.2,2.4,2.4,3.4,2,3,2.6,2.6,.,.,.,.,.,.,.,.,.,.,.,.,.
1079,0,15,3.75,3.75,3.5,3.8,2.6,2.8,4,3.2,.,1,.,3,2.25,3.25,3,.,.,.,.,2.6,2.8,3,.,3.29,4,3.5,4,4,1.8,1.2,2.6,1,2.8,2.33,2.4,3.8,3.25,3,2.25,2,2.2,2.8,2.2,2.6,2,3,2.4,3.2,2.2
1080,0,15,4,3.5,4,4,3.4,3.8,4,4,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,3.5,4,4,4,4,4,4,4,3.4,3.4,4,3.4,3.4,4,4,4,4,4,4,4,4,3.4,4,3.4,3.4,4
1081,0,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.51,.,.,.,.,.,.,.,.,.,.,.,.,3.25,4,1.75,2.2,1.6,3.4,2.8,3.4,3.4,3,2.2,4,3.4
1082,1,14,2.25,2,2.5,2.4,2,2,2,3,.,2,.,2.5,2.25,2.75,2.4,1.8,1.8,2.8,3.2,3.2,2.8,2.67,2.8,2.8,3,3,3,3,2.8,2.8,3,3,3,3,2.8,2.6,2.75,2.5,2.75,2.8,2.4,2.4,2.6,2.6,2.6,3,2.6,2.6,2.6
1083,0,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.87,.,.,.,.,.,.,.,.,.,.,.,.,4,4,3.5,4,3.4,3.2,3.6,3.2,3.4,3.33,4,3.6,3.8
1084,1,14,3.5,3.25,4,3.8,2.8,3.8,3.4,3.2,2.8,4,3.2,3.5,3.75,4,3.8,3.2,3.4,3.4,3.4,3.8,3.2,3,.,3.47,4,3.75,4,4,3.2,3.8,4,3.8,3.8,4,2.4,4,3.75,3.25,4,3.8,3.2,3.6,3.8,4,4,4,1.8,3.4,2.8
